State,County,FIPS,MapDate,DSCI
NV,Carson City,32510,20250422,80
NV,Carson City,32510,20250429,80
NV,Carson City,32510,20250506,79
NV,Carson City,32510,20250513,79
NV,Carson City,32510,20250520,79
NV,Carson City,32510,20250527,98
NV,Carson City,32510,20250603,99
NV,Carson City,32510,20250610,99
NV,Carson City,32510,20250617,99
NV,Carson City,32510,20250624,99
NV,Carson City,32510,20250701,99
NV,Carson City,32510,20250708,100
NV,Carson City,32510,20250715,100
NV,Carson City,32510,20250722,100
NV,Carson City,32510,20250729,100
NV,Carson City,32510,20250805,100
NV,Carson City,32510,20250812,100
NV,Carson City,32510,20250819,100
NV,Carson City,32510,20250826,100
NV,Carson City,32510,20250902,100
NV,Carson City,32510,20250909,100
NV,Carson City,32510,20250916,100
NV,Carson City,32510,20250923,100
NV,Carson City,32510,20250930,100
NV,Carson City,32510,20251007,100
NV,Carson City,32510,20251014,99
NV,Carson City,32510,20251021,1
NV,Carson City,32510,20251028,1
NV,Carson City,32510,20251104,1
NV,Carson City,32510,20251111,1
NV,Carson City,32510,20251118,0
NV,Carson City,32510,20251125,0
NV,Carson City,32510,20251202,0
NV,Carson City,32510,20251209,0
NV,Carson City,32510,20251216,0
NV,Carson City,32510,20251223,0
NV,Carson City,32510,20251230,0
NV,Carson City,32510,20260106,0
NV,Carson City,32510,20260113,0
NV,Carson City,32510,20260120,0
NV,Carson City,32510,20260127,0
NV,Carson City,32510,20260203,0
NV,Carson City,32510,20260210,0
NV,Carson City,32510,20260217,0
NV,Carson City,32510,20260224,0
NV,Carson City,32510,20260303,0
NV,Carson City,32510,20260310,0
NV,Carson City,32510,20260317,100
NV,Carson City,32510,20260324,100
NV,Carson City,32510,20260331,100
NV,Carson City,32510,20260407,138
NV,Carson City,32510,20260414,137
NV,Carson City,32510,20260421,140
NV,Carson City,32510,20260428,140
NV,Carson City,32510,20260505,140
NV,Carson City,32510,20260512,100
NV,Carson City,32510,20260519,100
NV,Carson City,32510,20260526,100
NV,Carson City,32510,20260602,100
NV,Churchill County,32001,20130101,400
NV,Churchill County,32001,20130108,400
NV,Churchill County,32001,20130115,400
NV,Churchill County,32001,20130122,400
NV,Churchill County,32001,20130129,400
NV,Churchill County,32001,20130205,400
NV,Churchill County,32001,20130212,400
NV,Churchill County,32001,20130219,400
NV,Churchill County,32001,20130226,400
NV,Churchill County,32001,20130305,400
NV,Churchill County,32001,20130312,400
NV,Churchill County,32001,20130319,400
NV,Churchill County,32001,20130326,400
NV,Churchill County,32001,20130402,400
NV,Churchill County,32001,20130409,400
NV,Churchill County,32001,20130416,400
NV,Churchill County,32001,20130423,400
NV,Churchill County,32001,20130430,400
NV,Churchill County,32001,20130507,400
NV,Churchill County,32001,20130514,400
NV,Churchill County,32001,20130521,400
NV,Churchill County,32001,20130528,400
NV,Churchill County,32001,20130604,400
NV,Churchill County,32001,20130611,400
NV,Churchill County,32001,20130618,400
NV,Churchill County,32001,20130625,400
NV,Churchill County,32001,20130702,444
NV,Churchill County,32001,20130709,444
NV,Churchill County,32001,20130716,444
NV,Churchill County,32001,20130723,444
NV,Churchill County,32001,20130730,444
NV,Churchill County,32001,20130806,444
NV,Churchill County,32001,20130813,444
NV,Churchill County,32001,20130820,444
NV,Churchill County,32001,20130827,444
NV,Churchill County,32001,20130903,444
NV,Churchill County,32001,20130910,444
NV,Churchill County,32001,20130917,444
NV,Churchill County,32001,20130924,444
NV,Churchill County,32001,20131001,444
NV,Churchill County,32001,20131008,444
NV,Churchill County,32001,20131015,444
NV,Churchill County,32001,20131022,444
NV,Churchill County,32001,20131029,444
NV,Churchill County,32001,20131105,444
NV,Churchill County,32001,20131112,444
NV,Churchill County,32001,20131119,444
NV,Churchill County,32001,20131126,444
NV,Churchill County,32001,20131203,444
NV,Churchill County,32001,20131210,444
NV,Churchill County,32001,20131217,444
NV,Churchill County,32001,20131224,444
NV,Churchill County,32001,20131231,444
NV,Churchill County,32001,20140107,444
NV,Churchill County,32001,20140114,444
NV,Churchill County,32001,20140121,444
NV,Churchill County,32001,20140128,444
NV,Churchill County,32001,20140204,444
NV,Churchill County,32001,20140211,444
NV,Churchill County,32001,20140218,444
NV,Churchill County,32001,20140225,444
NV,Churchill County,32001,20140304,444
NV,Churchill County,32001,20140311,444
NV,Churchill County,32001,20140318,444
NV,Churchill County,32001,20140325,483
NV,Churchill County,32001,20140401,483
NV,Churchill County,32001,20140408,483
NV,Churchill County,32001,20140415,483
NV,Churchill County,32001,20140422,483
NV,Churchill County,32001,20140429,483
NV,Churchill County,32001,20140506,483
NV,Churchill County,32001,20140513,483
NV,Churchill County,32001,20140520,483
NV,Churchill County,32001,20140527,483
NV,Churchill County,32001,20140603,483
NV,Churchill County,32001,20140610,483
NV,Churchill County,32001,20140617,484
NV,Churchill County,32001,20140624,484
NV,Churchill County,32001,20140701,484
NV,Churchill County,32001,20140708,484
NV,Churchill County,32001,20140715,484
NV,Churchill County,32001,20140722,484
NV,Churchill County,32001,20140729,485
NV,Churchill County,32001,20140805,485
NV,Churchill County,32001,20140812,485
NV,Churchill County,32001,20140819,485
NV,Churchill County,32001,20140826,485
NV,Churchill County,32001,20140902,485
NV,Churchill County,32001,20140909,485
NV,Churchill County,32001,20140916,485
NV,Churchill County,32001,20140923,485
NV,Churchill County,32001,20140930,485
NV,Churchill County,32001,20141007,485
NV,Churchill County,32001,20141014,485
NV,Churchill County,32001,20141021,485
NV,Churchill County,32001,20141028,485
NV,Churchill County,32001,20141104,485
NV,Churchill County,32001,20141111,485
NV,Churchill County,32001,20141118,485
NV,Churchill County,32001,20141125,485
NV,Churchill County,32001,20141202,485
NV,Churchill County,32001,20141209,485
NV,Churchill County,32001,20141216,485
NV,Churchill County,32001,20141223,485
NV,Churchill County,32001,20141230,485
NV,Churchill County,32001,20150106,485
NV,Churchill County,32001,20150113,485
NV,Churchill County,32001,20150120,485
NV,Churchill County,32001,20150127,500
NV,Churchill County,32001,20150203,500
